"","Name","Rank","Year","Type","Duration","Genre","Rating","MetaScore","Desc","Director_Stars","Votes","Gross"
"152","La Ronde",152,"-1950","PG","93 min","Drama, Romance",7.5,72,"Soldiers, chambermaids, poets, prostitutes, aristocrats-all are on equal footing in this multi-character merry-go-round of love and infidelity.","Director:
Max Ophüls
                 | 
    Stars:
Anton Walbrook, 
Simone Signoret, 
Serge Reggiani, 
Simone Simon","",""
"153","My Mother's Castle",153,"-1990","U","98 min","Adventure, Biography, Comedy",7.6,NA,"Every holiday Marcel and his family go to their cottage near Marseilles. During one of these holidays he meets Isabelle, a pretty but conceited girl... Adapted from the cult classic novel from Marcel Pagnol.","Director:
Yves Robert
                 | 
    Stars:
Julien Ciamaca, 
Philippe Caubère, 
Nathalie Roussel, 
Didier Pain","",""
"154","Léon Morin, Priest",154,"-1961","","117 min","Drama, Romance, War",7.5,NA,"Set during occupied France, a faithless woman finds herself falling in love with a young priest.","Director:
Jean-Pierre Melville
                 | 
    Stars:
Jean-Paul Belmondo, 
Emmanuelle Riva, 
Irène Tunc, 
Nicole Mirel","",""
"155","The City of Lost Children",155,"-1995","15","112 min","Drama, Fantasy, Sci-Fi",7.5,73,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","Directors:
Marc Caro, 
Jean-Pierre Jeunet
                 | 
    Stars:
Ron Perlman, 
Daniel Emilfork, 
Judith Vittet, 
Dominique Pinon","",""
"156","Rust and Bone",156,"-2012","15","120 min","Drama, Romance",7.4,73,"Put in charge of his young son, Alain leaves Belgium for Antibes to live with his sister and her husband as a family. Alain's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident.","Director:
Jacques Audiard
                 | 
    Stars:
Marion Cotillard, 
Matthias Schoenaerts, 
Armand Verdure, 
Céline Sallette","",""
"157","March of the Penguins",157,"-2005","U","80 min","Documentary, Family",7.5,79,"In the Antarctic, every March since the beginning of time, the quest begins to find the perfect mate and start a family.","Director:
Luc Jacquet
                 | 
    Stars:
Morgan Freeman, 
Romane Bohringer, 
Charles Berling, 
Jules Sitruk","",""
"158","The Piano Teacher",158,"-2001","18","131 min","Drama, Music",7.5,79,"A young man romantically pursues his masochistic piano teacher.","Director:
Michael Haneke
                 | 
    Stars:
Isabelle Huppert, 
Annie Girardot, 
Benoît Magimel, 
Susanne Lothar","",""
"159","Tell No One",159,"-2006","15","131 min","Crime, Drama, Mystery",7.5,82,"An accidental discovery near a doctor's estate stirs up some painful memories eight years after his wife's hideous murder, and now, things are bound to take a turn for the unexpected. Does the good doctor know more than he's letting on?","Director:
Guillaume Canet
                 | 
    Stars:
François Cluzet, 
Marie-Josée Croze, 
André Dussollier, 
Kristin Scott Thomas","",""
"160","Man Bites Dog",160,"-1992","18","95 min","Comedy, Crime, Drama",7.4,67,"A film crew follows a ruthless thief and heartless killer as he goes about his daily routine. But complications set in when the film crew lose their objectivity and begin lending a hand.","Directors:
Rémy Belvaux, 
André Bonzel, 
Benoît Poelvoorde
                 | 
    Stars:
Benoît Poelvoorde, 
Jacqueline Poelvoorde-Pappaert, 
Nelly Pappaert, 
Hector Pappaert","",""
"161","The Class",161,"-2008","15","128 min","Drama",7.5,92,"Teacher and novelist François Bégaudeau plays a version of himself as he negotiates a year with his racially mixed students from a tough Parisian neighborhood.","Director:
Laurent Cantet
                 | 
    Stars:
François Bégaudeau, 
Agame Malembo-Emene, 
Angélica Sancio, 
Arthur Fogel","",""
"162","Mesrine Part 1: Killer Instinct",162,"-2008","15","113 min","Action, Biography, Crime",7.5,71,"The story of the notorious French gangster Jacques Mesrine, with the focus on his life before the early 1970s and the events that led to him being declared Public Enemy No. 1 in France.","Director:
Jean-François Richet
                 | 
    Stars:
Vincent Cassel, 
Cécile de France, 
Gérard Depardieu, 
Gilles Lellouche","",""
"163","The Illusionist",163,"-2010","PG","80 min","Animation, Drama, Fantasy",7.5,82,"A French illusionist finds himself out of work and travels to Scotland, where he meets a young woman. Their ensuing adventure changes both their lives forever.","Director:
Sylvain Chomet
                 | 
    Stars:
Jean-Claude Donda, 
Eilidh Rankin, 
Duncan MacNeil, 
Raymond Mearns","",""
"164","Mesrine Part 2: Public Enemy Number 1",164,"-2008","15","133 min","Action, Biography, Crime",7.4,72,"The story of the notorious French gangster Jacques Mesrine, with the focus on his life and death as France's Public Enemy No. 1 in the 1970s.","Director:
Jean-François Richet
                 | 
    Stars:
Vincent Cassel, 
Ludivine Sagnier, 
Mathieu Amalric, 
Samuel Le Bihan","",""
"165","I Killed My Mother",165,"-2009","15","96 min","Drama, Romance",7.4,77,"A semi-autobiographical story about Hubert as a young homosexual at odds with his mother.","Director:
Xavier Dolan
                 | 
    Stars:
Anne Dorval, 
Xavier Dolan, 
François Arnaud, 
Suzanne Clément","",""
"166","Cyrano de Bergerac",166,"-1990","U","137 min","Comedy, Drama, History",7.5,79,"Famed swordsman and poet Cyrano de Bergerac is in love with his cousin Roxane. He has never expressed his love for her as he his large nose undermines his self-confidence. Then he finds a way to express his love to her, indirectly.","Director:
Jean-Paul Rappeneau
                 | 
    Stars:
Gérard Depardieu, 
Anne Brochet, 
Vincent Perez, 
Jacques Weber","",""
"167","Monsieur Lazhar",167,"-2011","12A","95 min","Comedy, Drama",7.5,82,"At a Montréal public grade school, an Algerian immigrant is hired to replace a popular teacher who committed suicide in her classroom. While helping his students deal with their grief, his own recent loss is revealed.","Director:
Philippe Falardeau
                 | 
    Stars:
Mohamed Fellag, 
Sophie Nélisse, 
Émilien Néron, 
Danielle Proulx","",""
"168","The Child",168,"-2005","12A","95 min","Crime, Drama, Romance",7.4,87,"Bruno and Sonia, a young couple living off her benefit and the thefts committed by his gang, have a new source of money: their newborn son.","Directors:
Jean-Pierre Dardenne, 
Luc Dardenne
                 | 
    Stars:
Jérémie Renier, 
Déborah François, 
Jérémie Segard, 
Fabrizio Rongione","",""
"169","Shoot the Pianist",169,"-1960","X","80 min","Crime, Drama, Thriller",7.4,NA,"A pianist helps his brother escape from two gangsters, who retaliate by abducting their kid brother.","Director:
François Truffaut
                 | 
    Stars:
Charles Aznavour, 
Marie Dubois, 
Nicole Berger, 
Michèle Mercier","",""
"170","Les Vacances de Monsieur Hulot",170,"-1953","U","114 min","Comedy",7.3,NA,"Monsieur Hulot comes to a beachside hotel for a vacation and accidentally, but good-naturedly, causes havoc.","Director:
Jacques Tati
                 | 
    Stars:
Jacques Tati, 
Nathalie Pascaud, 
Micheline Rolla, 
Valentine Camax","",""
"171","Sarah's Key",171,"-2010","12","111 min","Drama, War",7.5,59,"In modern-day Paris, a journalist finds her life becoming entwined with a young girl whose family was torn apart during the notorious Vel' d'Hiv Roundup in 1942.","Director:
Gilles Paquet-Brenner
                 | 
    Stars:
Kristin Scott Thomas, 
Mélusine Mayance, 
Niels Arestrup, 
Frédéric Pierrot","",""
"172","Une Femme est une Femme",172,"-1961","X","85 min","Comedy, Drama, Romance",7.3,71,"A French striptease artist is desperate to become a mother. When her reluctant boyfriend suggests that his best friend impregnate her, feelings become complicated when she accepts.","Director:
Jean-Luc Godard
                 | 
    Stars:
Anna Karina, 
Jean-Claude Brialy, 
Jean-Paul Belmondo, 
Henri Attal","",""
"173","Frantz",173,"-2016","12","113 min","Drama, History, Romance",7.5,73,"In the aftermath of WWI, a young German who grieves the death of her fiancé in France meets a mysterious Frenchman who visits the fiancé's grave to lay flowers.","Director:
François Ozon
                 | 
    Stars:
Pierre Niney, 
Paula Beer, 
Ernst Stötzner, 
Marie Gruber","",""
"174","Rosetta",174,"-1999","15","95 min","Drama",7.4,76,"Young and impulsive Rosetta lives with her alcoholic mother and, moved by despair, she will do anything to maintain a job.","Directors:
Jean-Pierre Dardenne, 
Luc Dardenne
                 | 
    Stars:
Émilie Dequenne, 
Fabrizio Rongione, 
Anne Yernaux, 
Olivier Gourmet","",""
"175","La Cérémonie",175,"-1995","15","111 min","Crime, Drama, Thriller",7.5,NA,"A newly hired maid for a rich countryside family befriends a post-office clerk who encourages her to rebel against her employers.","Director:
Claude Chabrol
                 | 
    Stars:
Isabelle Huppert, 
Sandrine Bonnaire, 
Jacqueline Bisset, 
Jean-Pierre Cassel","",""
"176","The Eighth Day",176,"-1996","PG","118 min","Comedy, Drama",7.5,NA,"An unusual and wonderful friendship develops between a busy but unhappy salesman and a resident of a mental asylum.","Director:
Jaco Van Dormael
                 | 
    Stars:
Daniel Auteuil, 
Pascal Duquenne, 
Miou-Miou, 
Henri Garcin","",""
"177","Kirikou and the Sorceress",177,"-1998","U","71 min","Animation, Adventure, Family",7.5,77,"Kirikou, an unusual little boy, must search the wisdom of the forbidden mountain in order to save his village from a spell cast by the evil sorceress Karaba","Directors:
Michel Ocelot, 
Raymond Burlet
                 | 
    Stars:
Doudou Gueye Thiaw, 
Maimouna N'Diaye, 
Awa Sene Sarr, 
Robert Liensol","",""
"178","Ma vie en rose",178,"-1997","12","88 min","Drama",7.5,NA,"Ludovic is an innocent seven-year-old child who provokes horror in his community when he dresses in girls clothes and insists he's a girl.","Director:
Alain Berliner
                 | 
    Stars:
Georges Du Fresne, 
Michèle Laroque, 
Jean-Philippe Écoffey, 
Hélène Vincent","",""
"179","L'argent",179,"-1983","PG","85 min","Crime, Drama",7.4,95,"A forged 500-franc note is passed from person to person until carelessness leads to tragedy.","Director:
Robert Bresson
                 | 
    Stars:
Christian Patey, 
Sylvie Van den Elsen, 
Michel Briguet, 
Vincent Risterucci","",""
"180","The Diary of a Chambermaid",180,"-1964","X","97 min","Crime, Drama",7.4,NA,"A sophisticated and self-assured woman from Paris joins a middle-class rural estate as a maid and causes quite a stir among the variously uptight, perverse and violent inhabitants.","Director:
Luis Buñuel
                 | 
    Stars:
Jeanne Moreau, 
Georges Géret, 
Michel Piccoli, 
Daniel Ivernel","",""
"181","Bed & Board",181,"-1970","A","97 min","Comedy, Drama, Romance",7.4,NA,"Antoine Doinel works dying flowers in the courtyard outside his apartment. He is married to Christine, who is pregnant. He has an affair with a Japanese woman, jeopardising his marriage.","Director:
François Truffaut
                 | 
    Stars:
Jean-Pierre Léaud, 
Claude Jade, 
Hiroko Berghauer, 
Barbara Laage","",""
"182","Custody",182,"-2017","15","93 min","Drama, Thriller",7.5,83,"A broken marriage leads to a bitter custody battle with an embattled son at the centre.","Director:
Xavier Legrand
                 | 
    Stars:
Léa Drucker, 
Denis Ménochet, 
Thomas Gioria, 
Mathilde Auneveux","",""
"183","Le boucher",183,"-1970","AA","93 min","Drama, Thriller",7.3,NA,"An unlikely friendship between a dour, working class butcher and a repressed schoolteacher coincides with a grisly series of Ripper-type murders in a provincial French town.","Director:
Claude Chabrol
                 | 
    Stars:
Stéphane Audran, 
Jean Yanne, 
Antonio Passalia, 
Pascal Ferone","",""
"184","See You Up There",184,"-2017","","117 min","Comedy, Crime, Drama",7.4,NA,"In November 1919, two soldiers--a disfigured but brilliant artist and an ex-accountant--start a memorial con. But in Roaring Twenties France, their adventures soon turn dangerous.","Director:
Albert Dupontel
                 | 
    Stars:
Nahuel Pérez Biscayart, 
Albert Dupontel, 
Laurent Lafitte, 
Niels Arestrup","",""
"185","A Town Called Panic",185,"-2009","PG","75 min","Animation, Adventure, Comedy",7.4,70,"Cowboy and Indian's only wish was to come up with a brilliant idea for Mr Horse's birthday, but when their plan ends up in utter disaster, they'll need to travel the world and back to make things right again.","Directors:
Stéphane Aubier, 
Vincent Patar
                 | 
    Stars:
Stéphane Aubier, 
Jeanne Balibar, 
Nicolas Buysse, 
François De Brigode","",""
"186","The Wild Child",186,"-1970","U","83 min","Biography, Drama, History",7.5,94,"In a French forest in 1798, a child is found who cannot walk, speak, read or write. A doctor becomes interested in the child and patiently attempts to civilize him.","Director:
François Truffaut
                 | 
    Stars:
François Truffaut, 
Jean-Pierre Cargol, 
Françoise Seigner, 
Paul Villé","",""
"187","French Fried Vacation 2",187,"-1979","","90 min","Comedy",7.4,NA,"Eight tourists who met in a holiday camp on the Ivory Coast are reunited for a skiing holiday.","Director:
Patrice Leconte
                 | 
    Stars:
Josiane Balasko, 
Michel Blanc, 
Marie-Anne Chazel, 
Christian Clavier","",""
"188","Welcome",188,"(I) (2009)","15","110 min","Drama",7.5,61,"Bilal sets off on an adventure-filled journey across Europe and wants to get to England to see his love who lives there.","Director:
Philippe Lioret
                 | 
    Stars:
Vincent Lindon, 
Firat Ayverdi, 
Audrey Dana, 
Derya Ayverdi","",""
"189","The Milky Way",189,"-1969","A","102 min","Comedy, Drama",7.4,NA,"Two drifters go on a pilgrimage from France to Santiago de Compostela in Spain. Along the way, they hitchhike, beg for food, and face the Christian dogmas and heresies from different Ages.","Director:
Luis Buñuel
                 | 
    Stars:
Paul Frankeur, 
Laurent Terzieff, 
Alain Cuny, 
Edith Scob","",""
"190","Jesus of Montreal",190,"-1989","18","118 min","Drama, Romance",7.5,NA,"A group of actors put on an unorthodox, but acclaimed Passion Play which incites the opposition of the Catholic Church while the actors' lives themselves begin to mirror the Passion itself.","Director:
Denys Arcand
                 | 
    Stars:
Lothaire Bluteau, 
Catherine Wilkening, 
Johanne-Marie Tremblay, 
Rémy Girard","",""
"191","The Soft Skin",191,"-1964","X","113 min","Drama, Romance",7.5,78,"Pierre Lachenay is a well-known publisher and lecturer, married with Franca and father of Sabine, around 10. He meets an air hostess, Nicole. They start a love affair, which Pierre is hiding, but he cannot stand staying away from her.","Director:
François Truffaut
                 | 
    Stars:
Jean Desailly, 
Françoise Dorléac, 
Nelly Benedetti, 
Daniel Ceccaldi","",""
"192","Leolo",192,"-1992","18","107 min","Comedy, Drama, Fantasy",7.4,NA,"The story of a young Canadian boy who tries to escape mentally from his disturbed family thanks to his fantasy and imagination.","Director:
Jean-Claude Lauzon
                 | 
    Stars:
Maxime Collin, 
Ginette Reno, 
Gilbert Sicotte, 
Julien Guiomar","",""
"193","Tous les Matins du Monde",193,"-1991","12","115 min","Biography, Drama, History",7.5,NA,"The story of Monsieur de Sainte Colombe, fierce and somber man, grand master of the viola da gamba and professor of Marin Marais, prestigious musician in the court of Louis XIV.","Director:
Alain Corneau
                 | 
    Stars:
Gérard Depardieu, 
Jean-Pierre Marielle, 
Anne Brochet, 
Guillaume Depardieu","",""
"194","Danton",194,"-1983","PG","136 min","Biography, Drama, History",7.4,NA,"In 1793, as the Terror begins in France, Georges Danton, a champion-of-the-people, returns to clash against Maximilien Robespierre and his extremist party.","Director:
Andrzej Wajda
                 | 
    Stars:
Gérard Depardieu, 
Wojciech Pszoniak, 
Anne Alvaro, 
Roland Blanche","",""
"195","The Collector",195,"-1967","15","89 min","Comedy, Drama, Romance",7.3,NA,"A womanizing art dealer and a painter find the serenity of their Riviera vacation disturbed by a third guest, a vivacious bohemian woman known for her long list of male conquests.","Director:
Éric Rohmer
                 | 
    Stars:
Patrick Bauchau, 
Haydée Politoff, 
Daniel Pommereulle, 
Alain Jouffroy","",""
"196","The Man Who Loved Women",196,"-1977","15","120 min","Comedy, Drama, Romance",7.4,NA,"Bertrand Morane's burial is attended by all the women the forty-year-old engineer loved. We then flash back to Bertrand's life and love affairs, told by himself while writing an ...                See full summary »","Director:
François Truffaut
                 | 
    Stars:
Charles Denner, 
Brigitte Fossey, 
Nelly Borgeaud, 
Geneviève Fontanel","",""
"197","Oscar",197,"-1967","","85 min","Comedy",7.5,NA,"Neurotic businessman must find the right man for his pregnant daughter. In fact, it is little bit complicated.","Director:
Édouard Molinaro
                 | 
    Stars:
Louis de Funès, 
Claude Rich, 
Mario David, 
Germaine Delbat","",""
"198","Blame it on Fidel",198,"-2006","","99 min","Drama",7.5,74,"A 9-year-old girl weathers big changes in her household as her parents become radical political activists in 1970-71 Paris.","Director:
Julie Gavras
                 | 
    Stars:
Nina Kervel-Bey, 
Julie Depardieu, 
Stefano Accorsi, 
Benjamin Feuillet","",""
"199","Celine and Julie go Boating",199,"-1974","AA","193 min","Comedy, Drama, Fantasy",7.3,100,"A mysteriously linked pair of young women find their daily lives preempted by a strange boudoir melodrama that plays itself out in a hallucinatory parallel reality.","Director:
Jacques Rivette
                 | 
    Stars:
Juliet Berto, 
Dominique Labourier, 
Bulle Ogier, 
Marie-France Pisier","",""
"200","The Toy",200,"-1976","","95 min","Comedy, Drama",7.4,NA,"A poor journalist finds himself as a toy of a boss' son. Making friends with a naughty child, he tries to save him from the cruel power of his father.","Director:
Francis Veber
                 | 
    Stars:
Pierre Richard, 
Michel Bouquet, 
Fabrice Greco, 
Jacques François","",""
"201","Family Resemblances",201,"-1996","15","110 min","Comedy, Drama",7.4,NA,"An upper middle-class French family celebrates a birthday in a restaurant. In one evening and during one meal, family history, tensions, collective and separate grudges, delights, and ...                See full summary »","Director:
Cédric Klapisch
                 | 
    Stars:
Jean-Pierre Bacri, 
Jean-Pierre Darroussin, 
Catherine Frot, 
Agnès Jaoui","",""
"202","An Autumn Tale",202,"-1998","U","112 min","Comedy, Drama, Romance",7.4,81,"A widow's best friend tries to find her a new husband, but the ad posted in the newspaper attracts more than one possibility.","Director:
Éric Rohmer
                 | 
    Stars:
Marie Rivière, 
Béatrice Romand, 
Alain Libolt, 
Didier Sandre","",""
"203","Irreversible",203,"-2002","18","97 min","Crime, Drama, Mystery",7.3,51,"Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in an underpass tunnel.","Director:
Gaspar Noé
                 | 
    Stars:
Monica Bellucci, 
Vincent Cassel, 
Albert Dupontel, 
Philippe Nahon","",""
"204","In the House",204,"-2012","15","105 min","Drama, Mystery, Thriller",7.4,72,"A high school French teacher is drawn into a precocious student's increasingly transgressive story about his relationship with a friend's family.","Director:
François Ozon
                 | 
    Stars:
Fabrice Luchini, 
Vincent Schmitt, 
Ernst Umhauer, 
Kristin Scott Thomas","",""
"205","The Kid with a Bike",205,"-2011","12A","87 min","Drama",7.4,87,"Abandoned by his father, a young boy is left in a state-run youth farm. In a random act of kindness, the town hairdresser agrees to foster him on weekends.","Directors:
Jean-Pierre Dardenne, 
Luc Dardenne
                 | 
    Stars:
Thomas Doret, 
Cécile de France, 
Jérémie Renier, 
Fabrizio Rongione","",""
"206","Two Is a Family",206,"-2016","","118 min","Comedy, Drama",7.3,NA,"A bachelor enjoys his sweet life on the French Riviera until a one-night stand tells him, he's dad to Gloria and leaves her with him. He moves to London with Gloria. Mom turns up 8 years later.","Director:
Hugo Gélin
                 | 
    Stars:
Omar Sy, 
Clémence Poésy, 
Antoine Bertrand, 
Ashley Walters","",""
"207","I Stand Alone",207,"-1998","18","93 min","Crime, Drama, Thriller",7.3,77,"A horse butcher's life and mind begin to break down as he lashes out against various factions of society while attempting to reconnect with his estranged daughter.","Director:
Gaspar Noé
                 | 
    Stars:
Philippe Nahon, 
Blandine Lenoir, 
Frankie Pain, 
Martine Audrain","",""
"208","Tomboy",208,"-2011","U","82 min","Drama",7.4,74,"A family moves into a new neighborhood, and a 10-year-old named Laure deliberately presents as a boy named Mikhael to the neighborhood children.","Director:
Céline Sciamma
                 | 
    Stars:
Zoé Héran, 
Malonn Lévana, 
Jeanne Disson, 
Sophie Cattani","",""
"209","Betty Blue",209,"-1986","18","119 min","Drama, Romance",7.3,56,"A lackadaisical handyman and aspiring novelist tries to support his younger girlfriend as she slowly succumbs to madness.","Director:
Jean-Jacques Beineix
                 | 
    Stars:
Jean-Hugues Anglade, 
Béatrice Dalle, 
Gérard Darmon, 
Consuelo De Haviland","",""
"210","13",210,"-2005","15","93 min","Crime, Drama, Thriller",7.3,61,"A man takes over a dead man's task without realizing the horror it entails.","Director:
Géla Babluani
                 | 
    Stars:
George Babluani, 
Aurélien Recoing, 
Pascal Bongard, 
Fred Ulysse","",""
"211","La Reine Margot",211,"-1994","18","161 min","Biography, Drama, History",7.4,NA,"Young Queen Margot finds herself trapped in an arranged marriage amidst a religious war between Catholics and Protestants. She hopes to escape with a new lover, but finds herself imprisoned by her powerful and ruthless family.","Director:
Patrice Chéreau
                 | 
    Stars:
Isabelle Adjani, 
Daniel Auteuil, 
Jean-Hugues Anglade, 
Vincent Perez","",""
"212","Café de Flore",212,"-2011","15","120 min","Drama, Romance",7.3,53,"A love story between a man and woman. And between a mother and her son. A mystical and fantastical odyssey on love.","Director:
Jean-Marc Vallée
                 | 
    Stars:
Vanessa Paradis, 
Kevin Parent, 
Hélène Florent, 
Evelyne Brochu","",""
"213","L'Appartement",213,"-1996","15","116 min","Drama, Mystery, Romance",7.3,NA,"A recently engaged man sees a former lover and becomes obsessed with meeting her again.","Director:
Gilles Mimouni
                 | 
    Stars:
Romane Bohringer, 
Vincent Cassel, 
Jean-Philippe Écoffey, 
Monica Bellucci","",""
"214","120 BPM (Beats Per Minute)",214,"-2017","15","143 min","Drama",7.4,84,"Members of the advocacy group ACT UP Paris demand action by the government and pharmaceutical companies to combat the AIDS epidemic in the early 1990s.","Director:
Robin Campillo
                 | 
    Stars:
Nahuel Pérez Biscayart, 
Arnaud Valois, 
Adèle Haenel, 
Antoine Reinartz","",""
"215","The Mad Adventures of Rabbi Jacob",215,"-1973","U","100 min","Adventure, Comedy",7.4,NA,"A bigoted Frenchman finds himself forced to impersonate a popular rabbi while on the run from a group of assassins - and the police.","Director:
Gérard Oury
                 | 
    Stars:
Louis de Funès, 
Miou-Miou, 
Suzy Delair, 
Marcel Dalio","",""
"216","Don't Worry, I'm Fine",216,"-2006","","92 min","Drama",7.3,NA,"Lili returns from holidays and learns that her twin brother left the house after a violent argument with their father.","Director:
Philippe Lioret
                 | 
    Stars:
Mélanie Laurent, 
Kad Merad, 
Isabelle Renauld, 
Julien Boisselier","",""
"217","The Hedgehog",217,"-2009","12","100 min","Drama",7.3,64,"The life of a determined young girl is changed when she befriends her building's concierge, a solitary woman who is more than what she seems.","Director:
Mona Achache
                 | 
    Stars:
Josiane Balasko, 
Garance Le Guillermic, 
Togo Igawa, 
Anne Brochet","",""
"218","Divines",218,"-2016","15","105 min","Crime, Drama",7.4,71,"A street teenager from a dysfunctional family from a banlieue (HLMs) in Paris comes across a young dancer who turns her life upside down.","Director:
Houda Benyamina
                 | 
    Stars:
Oulaya Amamra, 
Déborah Lukumuena, 
Kévin Mischel, 
Jisca Kalvanda","",""
"219","La belle époque",219,"-2019","15","115 min","Comedy, Drama, Fantasy",7.4,75,"A couple in crisis. He, disillusioned, sees his life upset the day an entrepreneur offers him to plunge back into the time of his choice.","Director:
Nicolas Bedos
                 | 
    Stars:
Daniel Auteuil, 
Guillaume Canet, 
Doria Tillier, 
Fanny Ardant","",""
"220","La Chèvre",220,"-1981","","90 min","Adventure, Comedy, Crime",7.3,NA,"A daughter of a millionaire, distinguish by incredible bad luck, goes missing. The idea how to find her is either insane or brilliant - to send after her an equally unlucky person.","Director:
Francis Veber
                 | 
    Stars:
Pierre Richard, 
Gérard Depardieu, 
Pedro Armendáriz Jr., 
Corynne Charbit","",""
"221","Beau travail",221,"-1999","15","92 min","Drama, War",7.3,91,"An ex-Foreign Legion officer recalls his once-glorious life of leading troops in Djibouti.","Director:
Claire Denis
                 | 
    Stars:
Denis Lavant, 
Michel Subor, 
Grégoire Colin, 
Richard Courcet","",""
"222","The Axe",222,"-2005","","117 min","Comedy, Crime, Drama",7.3,NA,"A chemist (Garcia) loses his job to outsourcing. Two years later and still jobless, he hits on a solution: to genuinely eliminate his competition.","Director:
Costa-Gavras
                 | 
    Stars:
José Garcia, 
Karin Viard, 
Geordy Couturiau, 
Ulrich Tukur","",""
"223","The Dreamlife of Angels",223,"-1998","18","113 min","Drama",7.4,NA,"The lives of two dissimilar girls turned out in different ways.","Director:
Erick Zonca
                 | 
    Stars:
Élodie Bouchez, 
Natacha Régnier, 
Grégoire Colin, 
Patrick Mercado","",""
"224","Ridicule",224,"-1996","15","102 min","Comedy, Drama, History",7.3,80,"To get royal backing on a needed drainage project, a poor French lord must learn to play the delicate games of wit at court at Versailles.","Director:
Patrice Leconte
                 | 
    Stars:
Charles Berling, 
Jean Rochefort, 
Fanny Ardant, 
Judith Godrèche","",""
"225","Couscous",225,"-2007","","151 min","Drama",7.4,83,"In southern France, a Franco-Arabic shipyard worker along with his partner's daughter pursues his dream of opening a restaurant.","Director:
Abdellatif Kechiche
                 | 
    Stars:
Habib Boufares, 
Hafsia Herzi, 
Farida Benkhetache, 
Abdelhamid Aktouche","",""
"226","Pauline at the Beach",226,"-1983","15","95 min","Comedy, Drama, Romance",7.3,NA,"Marion is about to divorce from her husband and takes her 15-year-old niece Pauline on a vacation to Granville. She meets an old love...","Director:
Éric Rohmer
                 | 
    Stars:
Amanda Langlet, 
Arielle Dombasle, 
Pascal Greggory, 
Féodor Atkine","",""
"227","The Sucker",227,"-1965","U","111 min","Adventure, Comedy, Crime",7.3,NA,"Criminals have chosen an ordinary man to carry drugs and jewels in his car across the border. The problem is that this man turned out too much ordinary.","Director:
Gérard Oury
                 | 
    Stars:
Bourvil, 
Louis de Funès, 
Venantino Venantini, 
Henri Génès","",""
"228","The Blood of a Poet",228,"-1932","PG","55 min","Fantasy",7.3,67,"One of cinema's great experiments, this first installment of the Orphic Trilogy stretches the medium to its limits in an effort to capture the poet's obsession with the struggle between the forces of life and death.","Director:
Jean Cocteau
                 | 
    Stars:
Enrique Rivero, 
Elizabeth Lee Miller, 
Pauline Carton, 
Odette Talazac","",""
"229","Seraphine",229,"-2008","12","125 min","Biography, Drama",7.4,84,"In 1912 German collector Wilhelm Uhde rents a flat in Senlis to write and take a break from Parisian life. He hires a 48-year old cleaning lady, Séraphine. Some time later, he notices a small painting on wood at a local notable home.","Director:
Martin Provost
                 | 
    Stars:
Yolande Moreau, 
Ulrich Tukur, 
Anne Bennent, 
Geneviève Mnich","",""
"230","Les Roseaux Sauvages",230,"-1994","15","115 min","Drama",7.3,83,"The fates of two partners are divided.","Director:
André Téchiné
                 | 
    Stars:
Élodie Bouchez, 
Gaël Morel, 
Stéphane Rideau, 
Frédéric Gorny","",""
"231","Seducing Doctor Lewis",231,"-2003","","108 min","Comedy, Drama",7.3,59,"A much-needed boost, in the form of a new factory, is promised to the residents of the tiny fishing village St. Marie-La-Mauderne, provided they can lure a doctor to take up full-time residency on the island. Inspired, the villagers devise a scheme to make Dr. Christopher Lewis a local.","Director:
Jean-François Pouliot
                 | 
    Stars:
David Boutin, 
Lucie Laurier, 
Raymond Bouchard, 
Dominik Dagenais","",""
"232","Boudu Saved from Drowning",232,"-1932","A","85 min","Comedy",7.3,NA,"A bookseller saves a tramp from drowning and shelters him, but the tramp's odd behavior starts to wear everyone down.","Director:
Jean Renoir
                 | 
    Stars:
Michel Simon, 
Marcelle Hainia, 
Sévérine Lerczinska, 
Jean Gehret","",""
"233","Time Masters",233,"-1982","","78 min","Animation, Adventure, Sci-Fi",7.3,NA,"Piel, a 7 or 8 year old boy, is alone on the desert planet Perdide, only survivor of an attack by giant hornets. Calling for help, Piel's father's friend Jaffar keeps contact with the kid and hurries across space toward Perdide.","Director:
René Laloux
                 | 
    Stars:
Jean Valmont, 
Michel Elias, 
Frédéric Legros, 
Yves-Marie Maurin","",""
