"","Name","Rank","Year","Type","Duration","Genre","Rating","MetaScore","Desc","Director_Stars","Votes","Gross"
"16","Three Colours: Red",16,"-1994","15","99 min","Drama, Mystery, Romance",8.1,100,"A model discovers a retired judge is keen on invading people's privacy.","Director:
Krzysztof Kieslowski
                 | 
    Stars:
Irène Jacob, 
Jean-Louis Trintignant, 
Frédérique Feder, 
Jean-Pierre Lorit","",""
"17","Portrait of a Lady on Fire",17,"-2019","15","122 min","Drama",8.1,95,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.","Director:
Céline Sciamma
                 | 
    Stars:
Noémie Merlant, 
Adèle Haenel, 
Luàna Bajrami, 
Valeria Golino","",""
"18","The Wages of Fear",18,"-1953","A","131 min","Adventure, Drama, Thriller",8.2,85,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Director:
Henri-Georges Clouzot
                 | 
    Stars:
Yves Montand, 
Charles Vanel, 
Peter van Eyck, 
Folco Lulli","",""
"19","The Battle of Algiers",19,"-1966","X","121 min","Drama, War",8.1,96,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Director:
Gillo Pontecorvo
                 | 
    Stars:
Brahim Hadjadj, 
Jean Martin, 
Yacef Saadi, 
Samia Kerbash","",""
"20","Mommy",20,"(I) (2014)","15","139 min","Drama",8,74,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.","Director:
Xavier Dolan
                 | 
    Stars:
Anne Dorval, 
Antoine Olivier Pilon, 
Suzanne Clément, 
Patrick Huard","",""
"21","The Passion of Joan of Arc",21,"-1928","A","110 min","Biography, Drama, History",8.2,98,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Director:
Carl Theodor Dreyer
                 | 
    Stars:
Maria Falconetti, 
Eugene Silvain, 
André Berley, 
Maurice Schutz","",""
"22","Le Samouraï",22,"-1967","A","105 min","Crime, Drama, Thriller",8,NA,"After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.","Director:
Jean-Pierre Melville
                 | 
    Stars:
Alain Delon, 
François Périer, 
Nathalie Delon, 
Cathy Rosier","",""
"23","La Grande Illusion",23,"-1937","U","113 min","Drama, War",8.1,NA,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.","Director:
Jean Renoir
                 | 
    Stars:
Jean Gabin, 
Dita Parlo, 
Pierre Fresnay, 
Erich von Stroheim","",""
"24","Rififi",24,"-1955","12","118 min","Crime, Drama, Thriller",8.1,97,"Four men plan a technically perfect crime, but the human element intervenes...","Director:
Jules Dassin
                 | 
    Stars:
Jean Servais, 
Carl Möhner, 
Robert Manuel, 
Janine Darcey","",""
"25","The Diving Bell and the Butterfly",25,"-2007","12","112 min","Biography, Drama",8,92,"The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.","Director:
Julian Schnabel
                 | 
    Stars:
Mathieu Amalric, 
Emmanuelle Seigner, 
Marie-Josée Croze, 
Anne Consigny","",""
"26","Persepolis",26,"-2007","12A","96 min","Animation, Biography, Drama",8,90,"A precocious and outspoken Iranian girl grows up during the Islamic Revolution.","Directors:
Vincent Paronnaud, 
Marjane Satrapi
                 | 
    Stars:
Chiara Mastroianni, 
Catherine Deneuve, 
Gena Rowlands, 
Danielle Darrieux","",""
"27","Les Diaboliques",27,"-1955","X","117 min","Crime, Drama, Horror",8.1,NA,"The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.","Director:
Henri-Georges Clouzot
                 | 
    Stars:
Simone Signoret, 
Véra Clouzot, 
Paul Meurisse, 
Charles Vanel","",""
"28","Forbidden Games",28,"-1952","X","86 min","Comedy, Drama, War",8,NA,"A young French girl orphaned in a Nazi air attack is befriended by the son of a poor farmer, and together they try to come to terms with the realities of death.","Director:
René Clément
                 | 
    Stars:
Georges Poujouly, 
Brigitte Fossey, 
Amédée, 
Laurence Badie","",""
